Sample No,Year Ref,Collection Date,Layer,Notes,Minimum Number of Species (MNS),Small Shell,Chiton,Chicoreus Species MNI,Chicoreus Species,Nassarius Species,Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Strombus (Tricornis) tricornis (Lightfoot 1786) MNI,Strombus (Tricornis) tricornis (Lightfoot 1786),Trochus dentatus (Forskål 1775) Knobbed Top Shell MNI,Trochus dentatus (Forskål 1775) Knobbed Top Shell,Volema paradisiaca nodosa (Lamarck 1822) MNI,Volema paradisiaca nodosa (Lamarck 1822),Unidentified Gastropod 1,Arca Species                              Ark Shell Left MNI,Arca Species                              Ark Shell Right MNI,Arca Species                              Ark Shell,Chama reflexa (Reeve 1846) Upper MNI,Chama reflexa (Reeve 1846) Lower MNI,Chama reflexa (Reeve 1846),Chama reflexa (Reeve 1846) Upper Hinge,Chama reflexa (Reeve 1846) Upper Width,Chama Species,Ostreiodea Species,Pinctada Species Left MNI,Pinctada Species Right MNI,Pinctada Species,Plicatula plicata (Linnaeus 1767) Lower MNI,Plicatula plicata (Linnaeus 1767) Upper MNI,Plicatula plicata (Linnaeus 1767),Plicatula plicata (Linnaeus 1767) Lower Length,Plicatula plicata (Linnaeus 1767) Lower Width,Plicatula plicata (Linnaeus 1767) Upper Length,Plicatula plicata (Linnaeus 1767) Upper Width,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster,Unidentified Bivalve Fragments,Unidentified Shell Fragments,Burnt Shell,Coral,Crab,Fish Bone,Stone/ Breccia,Calcite,Worm,Unsorted Residue,Rough Sorted Residue,Sorted residue,Total Sample Weight,Sample Number,,,,
338,F08,13/03/2008,upper layer,,13,1.0,0.5,,38.5,1.0,45,431.0,20.03,1,13.5,3,29.5,,2.0,10.5,2,2,40.5,3,8,360.0,20.56,20.31,6.0,18.5,4,5,27.0,2,8,65.5,42.21,35.16,40.38,32.89,3,,143.0,64.0,1.5,6.0,60.5,0.5,0.5,54.0,1.0,6.0,801.5,254.0,0.0,2436.5,338,,,,
342,F08,13/03/2008,lower layer,,7,0.5,,3,6.0,0.5,163,1080.0,21.91,,4.5,,0.5,,,5.5,,,,1,3,23.0,,,17.0,7.0,,,,,,,,,,,,,,,2.0,,4.0,,0.5,11.5,,0.5,761.5,163.5,0.0,2086.5,342,,,,
