Sample No,Year Ref,Collection Date,Context,Depth,Nother,Minimum Number of Species (MNS),Small Shell,Chiton,Chicoreus Species MNI,Chicoreus Species,Conus Species MNI,Conus Species,Engina mendicaria (Linnaeus 1758)       Striped Egina/Little Dove shell MNI,Engina mendicaria (Linnaeus 1758)       Striped Egina/Little Dove shell,Engina mendicaria (Linnaeus 1758)       Striped Egina/Little Dove shell Height,Prunum terverianum (Petit 1851) MNI,Prunum terverianum (Petit 1851),Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Strombus Species,Trochus Species,Inidentified Gastropod (1),Unidentified Gastropod Fragments,Arca Species Left MNI,Arca Species Right MNI,Arca Species,Chama Species,Ostreiodea Species,Pinctada Species Left MNI,Pinctada Species Right MNI,Pinctada Species,Pinctada Species Left Hinge,Pinctada Species Right Hinge,Plicatula plicata (Linnaeus 1767) Lower MNI,Plicatula plicata (Linnaeus 1767) Upper MNI,Plicatula plicata (Linnaeus 1767),Plicatula plicata (Linnaeus 1767) Lower Length,Plicatula plicata (Linnaeus 1767) Lower Width,Plicatula plicata (Linnaeus 1767) Upper Length,Plicatula plicata (Linnaeus 1767) Upper Width,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower Hinge,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper Hinge,Spondylus Species,Unidentified Bivalve Fragments,Unidentified Shell Fragments,Burnt Shell,Bone,Coral,Fish Bone,Fish Teeth,Stone/ Breccia,Coral,Worm,Unsorted Residue,Rough Sorted Residue,Sorted Residue,Total Sample Weight,Sample Number
343,F08,13/03/2008,Lower Layer,30,Matt to clarify context,5,0.5,,,6.0,,,3,2.5,16.62,,,194,1189.0,21.66,,,0.5,,,,,,1.5,,,,,,,,,,,,,,,,,,,,3.5,,,0.5,0.5,,31.0,0.5,,267.5,97.0,0.0,1599.0,343
344,F08,13/03/2008,Top Trench,0,,6,0.5,,,12.5,1,3.0,,,,1,0.5,356,1489.5,22.78,,,,,,,,,1.0,,,,,,,1,4.5,,,,,,,,,,,,,18.0,,2.0,,0.5,3.5,,0.5,397.0,271.5,3.0,2206.5,344
345,F08,13/03/2008,Top Trench,5,Sub-surface sample,3,0.5,,,6.5,,,,,,,,182,864.0,20.56,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,542.5,175.0,0.0,1589.5,345
346,F08,13/03/2008,Base Trench,5,,4,0.5,,,,,,,,,,,234,1090.5,25.05,,,3.5,2.5,,,1.5,,0.5,,,,,,,,,,,,,,,,,,,1.5,2.5,3.5,0.5,0.5,,,1.5,,0.5,621.5,167.0,0.0,1898.0,346
347,F08,13/03/2008,Base Trench,40,Dark Red/Brown matrix,8,0.5,,,13.5,1,1.5,,,,,,99,660.5,23.98,,,,18.0,3,5,25.5,31.5,,1,,4.0,27.25,,,1,6.5,,,,,3,,148.5,38.40,,,22.0,,,,2.5,,,62.0,,,827.0,163.0,57.0,2043.5,347
348,F08,13/03/2008,Base Trench,25,Dark Red/Brown matrix,12,0.5,0.5,1,32.0,,,,,,,,55,303.0,23.27,5.0,2.5,1.5,20.0,2,3,21.0,67.5,1.5,,,1.0,,,1,1,7.5,,,,,,,,,,28.0,10.5,12.0,,3.0,10.5,0.5,,481.0,,0.5,1454.0,255.5,119.5,2837.5,348
