Sample No,Year Ref,Collection Date,Context,Notes,Minimum Number of Species (MNS),Small Shell,Chicoreus ramosus (Linnaeus 1758) MNI,Chicoreus ramosus (Linnaeus 1758),Chicoreus ramosus (Linnaeus 1758) height,Chicoreus Species,Conus Species,Prunum terverianum (Petit 1851) MNI,Prunum terverianum (Petit 1851),Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Trochus dentatus (Forskål 1775) Knobbed Top Shell MNI,Trochus dentatus (Forskål 1775) Knobbed Top Shell,Arca Species                              Ark Shell Left MNI,Arca Species                              Ark Shell Right MNI,Arca Species                              Ark Shell,Arca Species                              Ark Shell Left Hinge,Arca Species                              Ark Shell Right Hinge,Chama reflexa (Reeve 1846) Upper MNI,Chama reflexa (Reeve 1846) Lower MNI,Chama reflexa (Reeve 1846),Chama reflexa (Reeve 1846) Upper Hinge,Chama reflexa (Reeve 1846) Upper Width,Chama reflexa (Reeve 1846) Upper Length,Chama reflexa (Reeve 1846) Lower Hinge,Chama reflexa (Reeve 1846) Lower Width,Chama reflexa (Reeve 1846) Lower Length,Ostreiodea Species,Pinna Species,Pinctada Species                             Pearl Oyster Upper MNI,Pinctada Species                             Pearl Oyster Lower MNI,Pinctada Species                             Pearl Oyster,Pinctada Species                             Pearl Oyster Upper Hinge,Pinctada Species                             Pearl Oyster Lower Hinge,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower Hinge,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper Hinge,Unidentified Shell Fragments,Bone?,Charcoal?,Coral,Fish Bone,Sea Urchin,Stone,Unid Stuff (inc some shell),Worm,Unsorted Residue,Rough Sorted Residue,Sorted residue,Total Sample Weight,Sample No
537,F08,23/03/2008,Lower Bulk Sample,This sample smells differently and seems to contain more humaic material - definitely very small molluscs - could be land snails. It is also darker in colour than most othe Khurmaadi samples. A flotation may be useful on the residues.,8,Yes,,,,3.0,0.5,,,68,480.0,22.38,,,1,,4.0,34.54,,,,0.5,,,,,,,3.0,1.0,,,,,,1,,64.5,,,3.0,<0.5,,1.5,<0.5,<0.5,,,0.5,362.0,152.0,89.5,1165.0,537
541,F08,23/03/2008,Upper Bulk Sample,,8,Yes,,10.5,,,4.0,1,<0.5,298,1393.5,21.95,1,2.5,,,,,,1,1,8.5,13.84,,,1.9,,,5.0,,,,1.0,,,,,,,,,,1.0,2.0,<0.5,,10.5,1.5,0.5,489.5,289.0,207.5,2429.0,541
