Sample No,Year Ref,Collection Date,Layer,Spit,,Position,Notes,Minimum Number of Species (MNS),Possibly anthropogenically worked stuff Description,Cerithium Species MNI,Cerithium Species,Chicoreus ramosus     (Linnaeus 1758) MNI,Chicoreus ramosus     (Linnaeus 1758),Chicoreus ramosus     (Linnaeus 1758) Height,Chicoreus Species MNI,Chicoreus Species,Conus Species,Limpet Species,Murex Species,Nassarius (Nassarius) arcularia plicatus (Röding 1798) MNI,Nassarius (Nassarius) arcularia plicatus (Röding 1798),Nassarius (Nassarius) arcularia plicatus (Röding 1798) Height,Nerita textilis                (Gmelin 1791) MNI,Nerita textilis                (Gmelin 1791),Nerita textilis                (Gmelin 1791) Width,Nerita textilis                (Gmelin 1791) Length,Nerita Species,Pleuroploca Species MNI,Pleuroploca Species,Strombus erythrinus (Dillwyn 1817) MNI,Strombus erythrinus (Dillwyn 1817),Strombus erythrinus (Dillwyn 1817) Height,Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Strombus sp,Trochus dentatus (Forskål 1775) Knobbed Top Shell MNI,Trochus dentatus (Forskål 1775) Knobbed Top Shell,Turbo Species MNI,Turbo Species,Volema paradisiaca nodosa (Lamarck 1822) MNI,Volema paradisiaca nodosa (Lamarck 1822),Unidentified Gastropod 1 MNI,Unidentified Gastropod 1,Unidentified Gastropod 2 MNI,Unidentified Gastropod 2,Unidentified Gastropod Fragments,Arca Species                              Ark Shell Left MNI,Arca Species                              Ark Shell Right MNI,Arca Species                              Ark Shell,Arca Species                              Ark Shell Left Hinge,Arca Species                              Ark Shell Right Hinge,Asaphinoides madreporicus                     (Jousseaume 1895) Upper MNI,Asaphinoides madreporicus                     (Jousseaume 1895) Lower MNI,Asaphinoides madreporicus                     (Jousseaume 1895),Asaphinoides madreporicus                     (Jousseaume 1895) Upper Length,Asaphinoides madreporicus                     (Jousseaume 1895) Upper Width,Asaphinoides madreporicus                     (Jousseaume 1895) Lower Length,Asaphinoides madreporicus                     (Jousseaume 1895) Lower Width,Beguina gubernaculum                                  (Reeve 1843) Left MNI,Beguina gubernaculum                                  (Reeve 1843) Right MNI,Beguina gubernaculum                                  (Reeve 1843),Beguina gubernaculum                                  (Reeve 1843) Left Length,Beguina gubernaculum                                  (Reeve 1843) Left Width,Beguina gubernaculum                                  (Reeve 1843) Right Length,Beguina gubernaculum                                  (Reeve 1843) Right Width,Boring Shell Species Unidentified,Brachidontes variabilis                                 (Krauss 1848) Left MNI,Brachidontes variabilis                                 (Krauss 1848) Right MNI,Brachidontes variabilis                                 (Krauss 1848),Brachidontes variabilis                                 (Krauss 1848) Left Length,Brachidontes variabilis                                 (Krauss 1848) Left Width,Brachidontes variabilis                                 (Krauss 1848) Right Length,Brachidontes variabilis                                 (Krauss 1848) Right Width,Chama reflexa (Reeve 1846) Upper MNI,Chama reflexa (Reeve 1846) Lower MNI,Chama reflexa (Reeve 1846),Chama reflexa (Reeve 1846) Upper Hinge,Chama reflexa (Reeve 1846) Upper Width,Chama reflexa (Reeve 1846) Upper Length,Chama reflexa (Reeve 1846) Lower Hinge,Chama reflexa (Reeve 1846) Lower Width,Chama reflexa (Reeve 1846) Lower Length,Chama Species,Mytilinae Species Left MNI,Mytilinae Species Right MNI,Mytilinae Species,Mytilinae Species Height,Mytilinae Species Length,Ostrea sp                                   Oyster Upper MNI,Ostrea sp                                   Oyster Lower MNI,Ostrea sp                                   Oyster,Ostrea sp                                   Oyster Upper Hinge,Ostrea sp                                   Oyster Lower Hinge,Pinctada Species Left MNI,Pinctada Species Right MNI,Pinctada Species,Pinctada Species Left Hinge,Pinctada Species Right Hinge,Plicatula plicata (Linnaeus 1767) Lower MNI,Plicatula plicata (Linnaeus 1767) Upper MNI,Plicatula plicata (Linnaeus 1767),Plicatula plicata (Linnaeus 1767) Lower Length,Plicatula plicata (Linnaeus 1767) Lower Width,Plicatula plicata (Linnaeus 1767) Upper Length,Plicatula plicata (Linnaeus 1767) Upper Width,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper MNI,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper Length,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper Width,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Upper Hinge,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower Length,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower Width,Spondylus marisrubri                      (Röding 1798)                                 Spiny or Thorny Oyster Lower Hinge,Spondyus Species,Tellinidae Species Left MNI,Tellinidae Species Right MNI,Tellinidae Species,Unidentified Bivalve Fragments,Unidentified Shell Fragments,Burnt Shell Unidentified species,Total Shell Weight,Barnacle,Bone?,Charred Seed,Coral,Crab,Fish Bone,Fish Teeth,Sea Urchin,Seed Pod old/modern?,Stange/ unidentified Stuff ,Stone/Breccia,Calcite,Worm,Unsorted Residue,Rough Sorted Residue,Sorted residue,Total Sample Weight,Sample Number,,,,
212,F08,08/03/2008,6,3,60-70cm,below datum,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,309,1815.5,23.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1817.0,,,,,0.5,0.5,,,,,,0.5,0.5,372.5,0.0,0.0,2190.0,212,,,,
213,F08,08/03/2008,6,4,70-80cm,below datum,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,263,1645.0,21.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1647.0,,,,,0.5,0.5,,,,0.5,3.0,,0.5,134.5,45.0,66.5,1897.0,213,,,,
214,F08,08/03/2008,6,5,80-90cm,below datum,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,281,1523.5,22.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.5,,,,,,0.5,,,,,,,0.5,263.0,0.0,0.0,1786.5,214,,,,
215,F08,08/03/2008,6,6,90-100cm,below datum,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,217,1445.5,23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.5,,0.5,,,,,,,,,,,,116.5,41.0,5.5,1608.5,215,,,,
216,F08,,6,7,100-110 cm,below datum,Ostrea subcula (Lamy 1925) - some debate could be Neopycnodonte but for the moment Dance classifies as ostrea,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,222,1618.5,23.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4.5,3.16,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.0,,,,0.5,,0.5,,,,,1.0,,0.5,0.0,125.5,62.0,1811.5,216,,,,
217,FO8,08/03/2008,6,8,110-120 cm,below datum,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,151,1478.5,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.5,,,,,,,,,,,,,0.5,92.0,75.0,1.5,1647.0,217,,,,
299,F08,12/03/2008,6,,80-90 cm,above base,,4,0.5,,,,,,,1.5,,,2.0,,,,,,,,,,,,,,191,1436.0,21.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,21.5,20.39,41.80,45.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.0,,,,,,,,,,4.0,,,,22.0,30.0,,1517.0,299,,,,
300,F08,12/03/2008,6,,90-100 cm,above base,,5,1.0,,,,,,,,0.5,,2.0,,,,,,,,,,,,,,142,1320.5,23.51,,,,,,,,,,,,,1,1,4.5,26.29,25.72,,,,,,,,,,,,,,,,,,,,,,,,1,8.0,,,,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.5,,,,3.5,,,,,,5.0,,,,0.0,46.0,41.0,1431.0,300,,,,
301,F08,12/03/2008,6,,100-110 cm,above base,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,207,1552.0,19.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,1565.5,,,,,,,,,,,,,0.5,51.0,25.5,2.0,1644.0,301,,,,
302,F08,12/03/2008,6,,110-120 cm,above base,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,123,1268.0,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269.5,,,,,0.5,,,,,2.5,,,,16.0,19.0,1.0,1308.0,302,,,,
303,F08,12/03/2008,6,,120-130 cm,above base,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,154,1398.0,22.39,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.0,,,,,,,,,,6.0,,,,41.0,22.0,48.0,1521.0,303,,,,
304,F08,12/03/2008,6,,130-140 cm,above base,One large shell not yet identified Costellaria? Strombus? Crassispira? Or Bullia?,3,0.5,,,,,,,,,,,,,,,,,,,,,2,5.0,46.25,171,1399.5,24.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,,,,,,,,,,,,,2.5,71.0,50.0,5.5,1529.0,304,,,,
