Site,Sample,Aperture
KM1050,348,21.13
KM1050,348,22.49
KM1050,348,18.25
KM1050,348,19.34
KM1050,348,21.85
KM1050,348,20.56
KM1050,348,21.33
KM1050,348,23.27
KM1051,338,20.03
KM1051,338,24.26
KM1051,338,23.58
KM1051,338,26.21
KM1051,338,22.63
KM1051,338,22.71
KM1051,338,24.15
KM1051,338,24.32
KM1051,338,22.28
KM1051,338,21.91
KM1051,338,22.26
KM1051,338,21.67
KM1051,338,23.1
KM1051,338,23.86
KM1051,338,23.93
KM1051,338,22.01
KM1051,338,20.92
KM1051,338,23
KM1051,338,20.95
KM1051,338,23.55
KM1051,338,21.4
KM1051,342,21.91
KM1051,342,20.73
KM1051,342,23.84
KM1051,342,22.91
KM1051,342,22.36
KM1051,342,19.27
KM1051,342,25.03
KM1051,342,23.92
KM1051,342,21.32
KM1051,342,25.77
KM1051,342,23.92
KM1051,342,21.03
KM1051,342,21.5
KM1051,342,21.14
KM1051,342,21.38
KM1051,342,19.62
KM1051,342,23.24
KM1051,342,22.19
KM1051,342,21.88
KM1051,342,21.73
KM1051,342,24.21
KM1051,342,20.09
KM1051,342,19.83
KM1051,342,21.83
KM1051,342,23.97
KM1051,342,24.32
KM1051,342,25.29
KM1051,342,25.98
KM1051,342,20
KM1051,342,24.06
KM1051,342,23.56
KM1051,342,20.46
KM1051,342,24.89
KM1051,342,18.31
KM1051,342,22.05
KM1051,342,26.54
KM1051,342,19.63
KM1051,342,19.46
KM1051,342,20.73
KM1051,342,21.5
KM1051,342,20.06
KM1051,342,20.94
KM1051,342,20.94
KM1051,342,17.77
KM1051,342,21.08
KM1051,342,19.91
KM1052,536,22.9
KM1052,536,20.07
KM1052,536,22.28
KM1052,536,21.75
KM1052,536,24.01
KM1052,536,22.07
KM1052,536,22.23
KM1052,536,23.42
KM1052,536,19.36
KM1052,536,22.41
KM1052,536,24.46
KM1052,536,22.3
KM1052,536,19.19
KM1052,536,22.11
KM1052,536,20.57
KM1052,536,19.44
KM1052,536,20.16
KM1052,536,21.15
KM1052,536,20.06
KM1052,536,21.85
KM1052,536,23.89
KM1052,536,23.11
KM1052,536,23.28
KM1052,536,21.51
KM1052,536,21.35
KM1052,536,19.1
KM1052,536,25.05
KM1052,536,23.21
KM1052,536,21.25
KM1052,536,21.29
KM1052,536,22.13
KM1052,536,22.5
KM1052,536,21.45
KM1052,536,20.73
KM1052,536,20.66
KM1053,537,22.38
KM1053,537,27.75
KM1053,537,27.61
KM1053,537,24.4
KM1053,537,24.23
KM1053,537,24.04
KM1053,537,23.91
KM1053,537,23.76
KM1053,537,23.74
KM1053,537,23.7
KM1053,537,23.53
KM1053,537,23.39
KM1053,537,23.31
KM1053,537,23.28
KM1053,537,23.17
KM1053,537,23.09
KM1053,537,23.07
KM1053,537,22.97
KM1053,537,22.62
KM1053,537,22.6
KM1053,537,22.6
KM1053,537,22.57
KM1053,537,22.43
KM1053,537,22.29
KM1053,537,21.99
KM1053,537,21.99
KM1053,537,21.93
KM1053,537,21.92
KM1053,537,21.82
KM1053,537,21.81
KM1053,537,21.8
KM1053,537,21.61
KM1053,537,21.48
KM1053,537,21.46
KM1053,537,21.41
KM1053,537,21.35
KM1053,537,20.29
KM1053,537,20.25
KM1053,537,19.97
KM1053,537,18.76
KM1053,541,21.95
KM1053,541,26.89
KM1053,541,26.58
KM1053,541,26.53
KM1053,541,25.64
KM1053,541,25.58
KM1053,541,25.48
KM1053,541,25.21
KM1053,541,25.2
KM1053,541,25.13
KM1053,541,25.1
KM1053,541,24.7
KM1053,541,24.41
KM1053,541,24.38
KM1053,541,24.37
KM1053,541,24.3
KM1053,541,24.14
